album	artist	genre	release_date	critic	score	body
Heat Lightning Rumbles in the Distance	Patterson Hood	Country	2012-09-11 00:00:00	Pitchfork	77.0	It's a placeholder album from a man who has already written 20 songs that are better than the ones here.
Held in Splendor	Quilt	Pop/Rock	2014-01-28 00:00:00	Spin	74.0	Rough in all the right places but pleasurably smooth in others, Held in Splendor is less like the kitschy t-shirt quilt you made to remember your high school clubs and teams, and more like the perfect old blankets your grandmother used to sew: oversized, musty, and familiar even when you haven't worn them in years.
Out Among the Stars	Johnny Cash	Country	2014-03-25 00:00:00	Exclaim	69.0	Out Among the Stars is, at least contextually, a reminder that sometimes things got in Johnny Cash's way, but there are very few forces on Earth that could stifle his voice and conviction when he set his mind to getting a song across.
Phantom Power	Super Furry Animals	Rock	2003-07-22 00:00:00	Blender	87.0	Beneath the sweetest of the album's retro harmonies, though, lurk harsh synths and dark thoughts. [Oct 2003, p.128]
King of the Beach	Wavves	Pop/Rock	2010-08-03 00:00:00	flashdelerium	72.0	"This is one of my favorite albums of all time. There isn't a lot of music like this, and that's why I love it. Wavves nearly perfected thisThis is one of my favorite albums of all time. There isn't a lot of music like this, and that's why I love it. Wavves nearly perfected this albums, with its different sounds and feelings. Indie meets punk meets surf rock meets lo-fi. My favorite tracks are ""green eyes,"" ""Linus Spacehead,"" and ""take on the world."" 2 thumbs up from me&hellip;Full Review &raquo;"
Shamelessly Exciting	Jason Forrest	Electronic	2005-10-11 00:00:00	Almost Cool	75.0	The album is almost all hooks, and like most albums of said variety, it's a load of fun but doesn't always stick to your ribs.
Flat-Pack Philosophy	Buzzcocks	Rock	2006-03-07 00:00:00	VegasA	71.0	Thematically, the Buzzcocks show their ages. Musically, they have plenty to teach today&#039;s punk young &#039;uns. Flat Pack Philosophy isThematically, the Buzzcocks show their ages. Musically, they have plenty to teach today&#039;s punk young &#039;uns. Flat Pack Philosophy is a Buzz saw attack of witty lyrics and sharp guitar lines.&hellip;Full Review &raquo;
HoboSapiens	John Cale	Rock	2004-09-07 00:00:00	AllMusic	89.0	This is the Welsh iconoclast at his most elegant, energetic, and innovative.
The Animal Years	Josh Ritter	Indie	2006-04-11 00:00:00	Uncut	80.0	"There's a tendency to drift rather than fully engage, but... ""Wolves"" and... ""Thin Blue Line""... dazzle with poetic imagery and invention. [Apr 2006, p.102]"
Who Needs Actions When You Got Words	Plan B	Rock	2006-06-26 00:00:00	PopMatters	74.0	It’s a shame that this music doesn’t reflect the invention and spark of the words, because shorn of the hip-hop backing and pared down to just voice and guitar, Plan B possesses a certain raw power and vitality.
Vespertine	Björk	Electronic	2001-08-28 00:00:00	Spin Cycle	88.0	"The most introspective and slow-tempo collection in Bj&#246;rk's catalog, ""Vespertine"" proves to be a rousing showcase of her captivating vocal talent."
Animositisomina	Ministry	Rock	2003-02-18 00:00:00	Alternative Press	67.0	Packs enough bite to nourish a Third World country. [Mar 2003, p.96]
Family	LeAnn Rimes	Country	2007-10-09 00:00:00	The Guardian	70.0	A slightly too-smooth production and typically overblown Bon Jovi collaboration act against notions of her as a modern Janis Joplin, but it's certainly disconcerting to hear a big-voiced former AOR child star saying that all she needs is a good friend and a glass of wine.
Lie Down In The Light	"Bonnie ""Prince"" Billy"	Rock	2008-05-20 00:00:00	The New York Times	81.0	They’ve made a mature record, with steady hands on the tiller.
Live Love A$AP	A$AP Rocky	Rap	2011-10-31 00:00:00	Beats Per Minute (formerly One Thirty BPM)	83.0	By reaching every-damn-where he could, ASAP Rocky both sidesteps this pitfall and becomes one of the year's most exciting voices.
Elk-Lake Serenade	Hayden	Indie	2004-05-18 00:00:00	LawrenceP	79.0	I think this is his best effort yet.
In Our Bedroom After The War	Stars	Indie	2007-09-25 00:00:00	Village Voice	70.0	Only a great fool would be satisfied with just a track or two.
Fatherfucker	Peaches	Indie	2003-09-23 00:00:00	iamanicon	70.0	Simply Fantastic. Ahead of it's time.
Time Off	Steve Gunn	Pop/Rock	2013-06-18 00:00:00	Blurt Magazine	82.0	Time Off takes its time getting where it’s going, but deftly reaches its destination.
Lonesome Dreams	Lord Huron	Pop/Rock	2012-10-09 00:00:00	BBC Music	68.0	Ultimately, God is less in the details, here, and Lonesome Dreams' success lies largely in the irrefutably vaulting sweep of the music and the ineffable air of melancholy-dented redemption which it so effectively conjures.
Neon Bible	Arcade Fire	Indie	2007-03-06 00:00:00	Lost At Sea	87.0	Neon Bible may be a bold departure from the beloved Funeral, but the divergence is as inspired as the music itself.
In Between	Young Prisms	Pop/Rock	2012-03-27 00:00:00	Consequence of Sound	71.0	There are still instances where Young Prisms reaches back to their old method, but the undeniable presence of growth gives their old ideas a fresh spin.
Hotel Valentine	Cibo Matto	Pop/Rock	2014-02-14 00:00:00	Pitchfork	75.0	It's the mood of Hotel Valentine that stands out the most.
Britney Jean	Britney Spears	Pop/Rock	2013-12-03 00:00:00	The Observer (UK)	50.0	Much here is busy, effective dance-pop that works, but it fails to rivet like Britney's 00s output.
Lantern	Hudson Mohawke	Dance	2015-06-16 00:00:00	The Quietus	70.0	Lantern still shows clear signs of the producer attempting to find his feet, if at times faltering.
Hall of Fame	Big Sean	Rap	2013-08-27 00:00:00	N10	72.0	"I really enjoyed this one. With the ""Detroit"" mixtape and ""Hall of Fame"" I hold them as his best and also as a new bright start for the kid.I really enjoyed this one. With the ""Detroit"" mixtape and ""Hall of Fame"" I hold them as his best and also as a new bright start for the kid. Big Sean has improved, it's heard here. Lyrically got the skill up and as an artist he's gotten better. The beat selection's are crazy, top notch production and as most rapper's lacks in he dosen't choose unneccesary guest features. Rapper's such as Nas, Kid Cudi and Nicki Minaj did bring some extra fire, and the coice of singer's did bring some fine hooks and catchy meleodies. He sounds more thrilled with his sophmore, he shows all more emotion with the writing and also playing off with his more comedic side.Big Sean got lines, I will be having this on replay, my interest in this dude got so much bigger thanks to this. He got some tracks I'm really loving (""Fire"", ""First Chain"", ""World Ablaze"" and the wonderful one ""Ashley""), songs like ""MILF"" and ""10 2 10"" actually worked for me too.He didn't disappoint me with this, I went in with my expectations low and he really took it with honor and proud. ""Hall of Fame"" is for sure a better one than many mainstream album's that released over the summer. As a lyricist and especially as a songwriter, Big Sean has gotten more hungrier and focused.This hasn't been giving too much plays, but we'll see were this stands in some months. A top release within the mainstram scene. Go and cop it if you like it, give it a try, could be some you like. Support hip hop!&hellip;Full Review &raquo;"
Boca Negra	Chicago Underground Duo	Rock	2010-01-26 00:00:00	cokemachineglow	81.0	CUD aren’t the first or best among many, but what you can hear when you listen to Boca Negra--in addition to a really excellent neo-jazz record--is the sounds of a band improvising while actually not really improvising. They’re unconsciously pulling from something rich and energetic and fundamental to the way we appreciate music.
Circumambulation	True Widow	Pop/Rock	2013-07-23 00:00:00	No Ripcord	83.0	Circumambulation practically evades any trace of sheen that was found on their two previous efforts. The differences are minimal but not predictable, lying somewhere between sludgy stoner metal and expansive, yet acute rhythmic precision; it’s their ability to never stand on solid ground that elevates their caliginous mid-tempo tunes.
Oracular Spectacular	MGMT	Indie	2008-01-22 00:00:00	Billboard	76.0	"Joining fellow hotly tipped Brooklyn bands Vampire Weekend and Yeasayer, MGMT (pronounced ""management"") merits just as much attention for its psychedelic experimentation as it does for its melodies and hooks."
Right Place Right Time	Olly Murs	Pop	2012-11-26 00:00:00	The Independent (UK)	63.0	Too much of the album is drably formulaic, a series of gambits shuffled into passable shapes rather than memorable songs.
The Midnight Organ Fight	Frightened Rabbit	Indie	2008-04-29 00:00:00	Tiny Mix Tapes	80.0	This is the least fashionable album I have heard in ages, and all the better for it.
Instrumentals 2015	Flying Saucer Attack	Pop/Rock	2015-07-17 00:00:00	Uncut	76.0	There's rich melodies buried in many of these tracks. [Aug 2015, p.73]
Now	Maxwell	Pop	2001-08-14 00:00:00	nishah	78.0	I give Mawell a 1000000 I think he is soooo talented and sooooo sexy if I could meet his mom I would thank her for having such a talented andI give Mawell a 1000000 I think he is soooo talented and sooooo sexy if I could meet his mom I would thank her for having such a talented and sexy man!!!!!&hellip;Full Review &raquo;
High Violet	The National	Indie	2010-05-11 00:00:00	Spin	85.0	That's the National's insidious brilliance: No other band makes dark and stormy seem like ideal weather.
Shields	Grizzly Bear	Alternative/Indie Rock	2012-09-18 00:00:00	Drowned In Sound	86.0	It's a warm-blooded record, beholden to analogue gear and flawless mastering--one destined to fit snugly on a turntable rather than to live as ones and zeros on your iPod.
The Neptunes Present... Clones	The Neptunes	Rap	2003-08-19 00:00:00	Spin	73.0	It&#146;s like a vacation slide show in which vivid memories turn hazy.
To Willie	Phosphorescent	Indie	2009-02-03 00:00:00	NOW Magazine	78.0	The Alabama-born Houck knows his way around this music well enough to walk the fine line between respect and reverence as he delivers impassioned readings of 'Can I Sleep In Your Arms' and 'Too Sick To Pray' and kicks out a freewheeling rip through 'I Gotta Get Drunk' with the appropriate tinge of self-loathing.
La Foret	Xiu Xiu	Indie	2005-07-12 00:00:00	Matt	82.0	"Ugh, I can&#039;t get into this. I&#039;m sure some people will like it, but I just can&#039;t do it. I can listen to a lot, and I usuallyUgh, I can&#039;t get into this. I&#039;m sure some people will like it, but I just can&#039;t do it. I can listen to a lot, and I usually like the ""weirder"" music, but I can&#039;t sit through it here. And by the way, I don&#039;t listen to commercial radio or watch music videos.&hellip;Full Review &raquo;"
13	Black Sabbath	Pop/Rock	2013-06-11 00:00:00	The Independent (UK)	72.0	In expressing all of these [themes] without tumbling into absurdity, it helps to have a klaxon whine like Ozzy's delivering them, while Tony Iommi cranks out those trademark slow, molten-lead riffs that trundle through 13 like tank tracks.
Discover A Lovelier You	Pernice Brothers	Indie	2005-06-14 00:00:00	cokemachineglow	78.0	An album that does the exact same thing as their previous records, only not as well.
Candylion	Gruff Rhys	Indie	2007-03-06 00:00:00	Playlouder	80.0	Gruff Rhys is one of our most imaginative and original musicians.
Death After Life	Thug Entrancer	Electronic	2014-02-11 00:00:00	XLR8r	77.0	Ultimately, only time will tell, but as things stand now, his Death After Life LP is unquestionably a strong and inventive first full-length.
Fijacion Oral Vol. 1	Shakira	Pop	2005-06-07 00:00:00	Amazon.com	79.0	Shakira's bleating, biting voice is in fine form, and it gives the material an electric urgency.
Reveal	R.E.M.	Rock	2001-05-15 00:00:00	Sonicnet	76.0	On the plus side, the album sounds really nice.... The problem is, things get a little too lazy and hazy; Reveal's 12 tracks all move with almost the exact same dreamy, midtempo lope.
Hotel	Moby	Electronic	2005-03-22 00:00:00	The New York Times	47.0	More than ever, the focus here is on Moby as a singer and songwriter, which is strange, because he is not very good at either job.
Come Around Sundown	Kings of Leon	Pop/Rock	2010-10-19 00:00:00	Billboard.com	64.0	On Kings of Leon's latest album, Come Around Sundown, the family Followill makes a strong bid to please longtime fans as well as the recently converted.
The Bright Mississippi	Allen Toussaint	Jazz	2009-04-21 00:00:00	Austin Chronicle	83.0	Piano patriarch evacuates the Big Easy for the Big Apple, where like-minded sessionistas young (Nicholas Payton) and old (Marc Ribot) mean Ellington standard 'Day Dream' almost doesn't miss Johnny Hodges and closer 'Solitude' compliments Dr. John's inspired Duke Elegant.
Bloom	Beach House	Pop/Rock	2012-05-15 00:00:00	CinemaNoir	78.0	Many, including myself, wondered how beach house could possibly follow up their 2010 masterpiece Teen Dream. Beach House responded to thisMany, including myself, wondered how beach house could possibly follow up their 2010 masterpiece Teen Dream. Beach House responded to this doubt by creating their largest and most elegant record to date, Bloom, an utter masterpiece. Bloom is one of the finest records created in the 21st century. The tracks are massive in scope, starting out small and quiet, slowly building towards their eventual greatness.I will attest to the fact that I generally consider lyrics to be very unimportant as, in my opinion, they are the most superficial aspect of music and are not representative of true musical talent or ability; however, I will fully admit that Bloom has some of the best lyrics and lyrical songwriting that I have heard; Victoria and Alex truly know how to write strong, meaningful songs.Victoria's voice on this album is absolutely incredible, she has one of the most beautiful and elegant voices in music; incredible range and a very unique timbre. She may be currently my favourite vocalist.I find the entire album to be incredible, however, if I would recommend for new listeners and previous beach house fans to check out Troublemaker, The Hours, Lazuli and Myth as these are the standouts IMO, however, like I said the entire album is incredibleAlready in May i think I have heard the best album of the year, Bloom, an album that is likely to be studied by musicians, critics and music theorists alike and recalled as the best work that of the 2000s/2010s dreampop movement.&hellip;Full Review &raquo;
Uncanny Valley	Midnight Juggernauts	Electronic	2013-07-09 00:00:00	The Line of Best Fit	57.0	Uncanny Valley is unfortunately too insignificant to escape the looming shadows all around.
Audio, Video, Disco	Justice	Electronic	2011-10-24 00:00:00	Tiny Mix Tapes	69.0	Audio, Video, Disco is simply too unfocused, too half-baked, and too busy hiding its inadequacies with superficially interesting window-dressing to fit in either of those settings--or any other.
We Don't Even Live Here	P.O.S	Rap	2012-10-22 00:00:00	Alternative Press	76.0	We Don't Even Live Here explores the dementia of our current moment with its charged, nihilistic lyrics and a sonic swell of electronic experimentalism. [Nov 2012, p.92]
Hard Candy	Madonna	Rock	2008-04-29 00:00:00	IanR	65.0	As a huge Madonna fan, I&#039;m disappointed. Never has she sounded more bored and more like a guest on her own songs. Enlisting the help ofAs a huge Madonna fan, I&#039;m disappointed. Never has she sounded more bored and more like a guest on her own songs. Enlisting the help of Timbaland and Timberlake reeks of desperation, and this half-baked effort contains no Madonna classics and only a handful of tolerable songs. Her worst studio effort without question.&hellip;Full Review &raquo;
Trill O.G.	Bun B	Rap	2010-08-03 00:00:00	The Wire	57.0	He telegraphs all too simplistic rhymes schemes and rarely offers subject matter beyond deeply cliched braggadocio. He's rapping like he doesn't want to be there. [Oct 2010, p.67]
Kill The Moonlight	Spoon	Indie	2002-08-20 00:00:00	PopMatters	88.0	Meticulously choppy and frequently free of inherent genre boundaries, it's an askew masterpiece of brains, brawn, heart, and soul.
The Child of Lov	The Child of Lov	Rap	2013-05-06 00:00:00	New Musical Express (NME)	74.0	The Child Of Lov may have started off as a shadowy enigma, but now is when Cole Williams lays his cards on the table. Turns out he was hiding a royal flush.
Panda Bear Meets the Grim Reaper	Panda Bear	Pop/Rock	2015-01-13 00:00:00	The Wire	82.0	Lennox is an innovator and a stylist, impossible to accurately imitate or easily dismiss. [Feb 2015, p.50]
Donkey	CSS	Indie	2008-07-22 00:00:00	New Musical Express (NME)	63.0	So, yes, it’s a tougher collection than the first, lacking the merciless hilarity you’d expect. But it’s also a strong step forward and one that proves they won’t disappear in the changing breeze of fashion.
The Rocky Road	Damien Dempsey	Folk	2008-08-26 00:00:00	AllMusic	79.0	The Rocky Road is well worthy of being mentioned alongside classic albums by the Dubliners and Planxty, and that's as big a compliment as it could be paid.
Surfing	Megapuss	Indie	2008-11-04 00:00:00	Under The Radar	66.0	Megapuss seems like one bad decision after another. [Year End 2008]
The Moral of the Elephant	Eliza Carthy	Folk	2014-06-17 00:00:00	The Telegraph (UK)	79.0	The way their voices swoop and bend together is a delight.
Spine Hits	Sleepy Sun	Electronic	2012-04-10 00:00:00	New Musical Express (NME)	61.0	While the overall sound is brighter, it's also largely rather weedy, and trading in the once colossal stoner riffs for languid neo-folk doesn't really suit this five-piece all that well.
Sweet Warrior	Richard Thompson	Rock	2007-05-29 00:00:00	Uncut	84.0	He sounds more like a loner--intense, precise, impervious to fashion--than ever. [Jul 2007, p.102]
Smilewound	Múm	Electronic	2013-09-17 00:00:00	Mojo	69.0	Pared-down twinkly electronic pop with arcane instruments alloyed to laptop smarts that chills as it enchants. [Oct 2013, p.98]
Rooney	Rooney	Rock	2003-05-20 00:00:00	Q Magazine	67.0	The feelgood hit of the summer? Quite possibly. [Sep 2003, p.110]
The New Year	The New Year	Indie	2008-09-09 00:00:00	cokemachineglow	77.0	This is the New Year. And there’s plenty of Bedhead in the New Year. Just not enough, unfortunately, in The New Year.
Ben Kweller	Ben Kweller	Indie	2006-09-19 00:00:00	AllMusic	74.0	Ben Kweller treads the same path as Kweller's other work, but fortunately, it still sounds genuine, not formulaic.
Strangers	Ed Harcourt	Indie	2005-02-01 00:00:00	The A.V. Club	74.0	There's little rhyme or reason to it, and the whole doesn't equal the sum of its parts. But many of the parts are worth noting.
Paris	Paris Hilton	Pop	2006-08-22 00:00:00	DouglasH	57.0	"Brilliant. An astonishing satire on celebrity vacuity in the 21st Century...Paris will have the last laugh. On the surface dazzlingly empty,Brilliant. An astonishing satire on celebrity vacuity in the 21st Century...Paris will have the last laugh. On the surface dazzlingly empty, yet full of subtle irony meaning for the more attentive, the lyrics convey something of the dense, multilayered/referential suggestion of Melvilles chapter on the ""Whiteness of the Whale"", or for that matter, Brett Easton Ellis. Paris Hilton - musician/philosopher. Who would have thought?&hellip;Full Review &raquo;"
Music's Not for Everyone	Chain and the Gang	Pop/Rock	2011-02-22 00:00:00	AllMusic	65.0	Overall, it's a darker and more uneven album than the debut, but notwithstanding a few oddities (three reprises, and Arrington de Dionyso's Gregorian throat singing, namely), it's a respectable follow-up.
Everything Is Borrowed	The Streets	Rap	2008-10-07 00:00:00	LeahT.	63.0	A Much better album than what some critics are saying...a few moments of sheer brilliance are here.
Man Overboard	Ian Hunter	Rock	2009-07-21 00:00:00	Uncut	76.0	Man Overboard doesn’t quite scale the heights of its predecessor, even containing a stumble or two ('Girl From The Office,' with Hunter playing the cad, falls flat), but it still offers plenty.
Once I Was an Eagle	Laura Marling	Folk	2013-05-28 00:00:00	New Musical Express (NME)	86.0	Once I Was An Eagle sets a high bar.
36 Seasons	Ghostface Killah	Rap	2014-12-09 00:00:00	The New York Times	72.0	36 Seasons continues his recent custom of spinning a thin concept into an engrossing narrative.
The Evolution of Man	Example	Electronic	2012-11-19 00:00:00	New Musical Express (NME)	65.0	This is a rock album for those whose idea of rock heroism is Red Hot Chili Peppers, U2, or maybe Muse if they're feeling a bit crazy. If that's you, you'll bloody love it. Everyone else will have to hope Example's evolution is just the beginning.
Lace Up	MGK	Rap	2012-10-09 00:00:00	DJ Booth	69.0	"Maintaining the same ""burn down the building"" energy that your most loyal fans demand while not actually burning down the building is no easy task, but it's a fine line that MGK mostly manages to walk with success on Lace Up."
Green Lanes	Ultimate Painting	Pop/Rock	2015-08-07 00:00:00	PopMatters	70.0	Through repetition and ringing hooks, Ultimate Painting follow a steady course by achieving a clarity in production that is free of clutter.
Make a Scene	Sophie Ellis-Bextor	Pop/Rock	2011-06-06 00:00:00	Pedro	53.0	"I should confess - at first, I wasn't very fond of this album either. But after a couple of listens, Ellis-Bextor won me over (again). It'sI should confess - at first, I wasn't very fond of this album either. But after a couple of listens, Ellis-Bextor won me over (again). It's pure dance-pop perfection and I don't see how anyone could deny it. Minus the disappointing ""Homewrecker"", the album is one of her best works.&hellip;Full Review &raquo;"
King Animal	Soundgarden	Pop/Rock	2012-11-13 00:00:00	Chicago Tribune	70.0	They sound more like singer-songwriter leftovers from his solo albums than the stuff of which big rock-band comebacks are made.
Hendra	Ben Watt	Pop/Rock	2014-04-29 00:00:00	Q Magazine	78.0	The acoustic-leaning song-cycle Hendra presents mature reflections on memory and loss. [May 2014, p.120]
Women	Women	Indie	2008-10-07 00:00:00	Tiny Mix Tapes	72.0	Every track on Women serves a purpose to the overall stereo image, resulting in a debut that sets the bar very high.
Suit	Nelly	Rap	2004-09-14 00:00:00	PreciousH	62.0	Oh..Wow!! This c.d made the charts so hot, Nelly did his thang from start to finish with this c.d. This man works hard to keep his image andOh..Wow!! This c.d made the charts so hot, Nelly did his thang from start to finish with this c.d. This man works hard to keep his image and this c.d shows it. Another thing that I love about this album is that Nelly actually opens up to his fans and he tells more about his life in this c.d.&hellip;Full Review &raquo;
Under Great White Northern Lights [Live]	The White Stripes	Rock	2010-03-16 00:00:00	CodyT	78.0	BRILLIANT live documentation of the Stripes. However, as a standalone live album this isn&#039;t their finest hour. Plenty of other liveBRILLIANT live documentation of the Stripes. However, as a standalone live album this isn&#039;t their finest hour. Plenty of other live shows of theirs, well known bootlegs among diehard fans, offer more than this mixed bag does. You;re better off downloading the Orpheum 2004 performance or even the Glastonbury 2005 show.&hellip;Full Review &raquo;
Director's Cut	Kate Bush	Pop/Rock	2011-05-31 00:00:00	No Ripcord	80.0	Perhaps the most significant thing that Director's Cut offers is context. Not just the context of an album – which it is being touted as, rather than a mere compilation – but the context of era, in how technological limitations of the time affect a composer's original intentions.
Free Your Mind	Cut Copy	Electronic	2013-11-05 00:00:00	The Line of Best Fit	68.0	Ultimately, it’s a hypnotic and intermittently enjoyable experience, which whilst a little overextended and at times as shallow as the music it pastiches, marks a convincing enough return for Cut Copy.
How About I Be Me (And You Be You)?	Sinéad O'Connor	Pop/Rock	2012-02-21 00:00:00	Under The Radar	75.0	All in all, a glorious return. [Mar 2012, p.85]
Summer Knights [Mixtape]	Joey Bada$$	Rap	2013-07-01 00:00:00	Rolling Stone	66.0	"""Death of YOLO"" and ""Word Is Bond"" show promise, but the tape feels like little more than background music for blunt sessions."
Talk a Good Game	Kelly Rowland	R&B;	2013-06-18 00:00:00	NOW Magazine	65.0	Emotionally raw, [Dirty Laundry is] far more intimate than her sexier songs, proving that her best recipe for success is baring her soul rather than her bedroom secrets.
The Grind Date	De La Soul	Rap	2004-10-05 00:00:00	Spin	80.0	Their jabs cut and the beats burn. [Nov 2004, p.118]
Cut Your Teeth	Kyla La Grange	Pop/Rock	2014-06-02 00:00:00	DIY Magazine	68.0	Kyla La Grange still has a voice you want to listen to, but two albums in, it seems like she’s still searching for the best music to set it to.
Molina And Johnson	Molina And Johnson	Indie	2009-11-03 00:00:00	Uncut	75.0	"Molina's downhome style and tender vocals coalesce with Johnson's frugger voice on minor marvels like ""Almost Let You In"" and ""Twenty Cycles To The Ground"", while the tidal hum and strum of ""Now, Divide"" is moodily unusual. [Dec 2009, p. 103]"
Rockferry	Duffy	Rock	2008-05-13 00:00:00	The Guardian	71.0	There's nothing dislikable about Rockferry - but nothing that dazzles, either.
Learn To Sing Like A Star	Kristin Hersh	Rock	2007-01-23 00:00:00	AllMusic	74.0	Learn to Sing Like a Star was certainly worth the wait, and if fans will listen closely enough, they'll understand that Hersh's sophistication as both a singing poet and composer has grown almost immeasurably.
Apollo Kids	Ghostface Killah	Rap	2010-12-21 00:00:00	Slant Magazine	84.0	Much like Raekwon on his 2009 landmark, Ghostface manages to steal the show despite the esteemed roll of guest spots. His rapid-fire delivery and blitz of sassy metaphors set a high-octane pace.
Invincible	Michael Jackson	Pop	2001-10-30 00:00:00	E! Online	51.0	The fortysomething performer doesn't have the stamina he used to, and the album quickly turns into a long run of listless ballads and silly cries for privacy.
Policy	Will Butler	Pop/Rock	2015-03-10 00:00:00	Clash Music	72.0	Although there's nothing exactly groundbreaking here, Policy packs plenty of personality and attitude.
Lost on the River	The New Basement Tapes	Country	2014-11-10 00:00:00	Blurt Magazine	75.0	Costello, James, Mumford, Goldsmith and Giddens put their disparate origins aside and pull together as a team. They clearly own these songs, and ply them accordingly. Both credence and comradery play crucial roles here, elevating this effort to that of an essential acquisition.
Engravings	Forest Swords	Electronic	2013-09-17 00:00:00	The Line of Best Fit	81.0	It’s a sonic exploration that, not unlike graphic design, takes physical elements and visualises them in another manner. And it sounds incredible.
Good News For People Who Love Bad News	Modest Mouse	Indie	2004-04-06 00:00:00	Uncut	83.0	There are some pleasantly elaborate, wayward songs here... Forays into funk and Tom Waits' scrapyard are cringe-inducing, though. [Sep 2004, p.110]
Familiars	The Antlers	Pop/Rock	2014-06-17 00:00:00	Pretty Much Amazing	82.0	It all comes satisfyingly full circle, but Familiars mostly washes over you when it should be lunging for your heart.
The Trip	Laetitia Sadier	Pop/Rock	2010-09-21 00:00:00	Tiny Mix Tapes	70.0	With The Trip, she's split the difference, crafting a modestly arranged work that showcases a variety of strengths we already knew she had.
Picture Show	Neon Trees	Pop/Rock	2012-04-17 00:00:00	Absolute Punk (Staff reviews)	63.0	"Picture Show may not have as much mainstream appeal as a song like ""Animals"", but it definitely shows a band honed in on creating enjoyable, addicting tracks that seem fresh without losing the hint of the past this album seems thankfully unable to shake."
Blur the Line	Those Darlins	Pop/Rock	2013-10-01 00:00:00	New Musical Express (NME)	68.0	Their truck-stop talk of tumours, drunk moms and Isaiah 11:6 focus the album on Deep South degradation, but the lush Lemonheads-pop of ‘Drive’, the stoned drive-in glam of ‘That Man’ and the girl-band psych-blues of ‘Baby Mae’ lend this record the tint of a narcotic and poetic take on Fleetwood Mac’s ‘Tusk’ with Jack White on fuzz and Phil Spector on shotgun.
End Times	Eels	Rock	2010-01-19 00:00:00	NikoB	71.0	I seriously love this album. It is his first that I could ever listen to the full album without skipping a song. Oh, and up yours Onion club.
De-Loused In The Comatorium	The Mars Volta	Rock	2003-06-24 00:00:00	Ink 19	82.0	De-loused is definitely worth checking out, but make sure to keep an open mind and check any preconceived notions at the door.
Momentary Masters	Albert Hammond, Jr.	Pop/Rock	2015-07-31 00:00:00	Rolling Stone	69.0	Albert Hammond Jr. packs his third solo disc with the band's signature crisp melodies, curt guitar churn and New Wave synth ripple. As a singer and lyricist, though, Hammond has an openhearted, somewhat quizzical mien that's a far cry from the Strokes' poker-faced chic.
Morph The Cat	Donald Fagen	Rock	2006-03-14 00:00:00	Vinylmasters	83.0	"We all should understand that music is a totally subjective experience as is a ""good wine"" or a great movie.  That being said, I am a bitWe all should understand that music is a totally subjective experience as is a ""good wine"" or a great movie.  That being said, I am a bit perplexed that Mack would make such bold statements and references.  Steely Dan/Donald **** and Walter Becker have truly evolved.  Listen to the sound changes over the years and the past three decades have been more of a polishing of a sound that is proven, secure and dynamic.  I may be a huge fan but I also appreciate the depth and soul of what I consider to be one of the most important musical influences since James Brown - ""on the one beat - smile!  One should comment on what they understand rather than be critical of that which they do not!&hellip;Full Review &raquo;"
X	Ed Sheeran	Pop	2014-06-23 00:00:00	Rolling Stone	67.0	"There are plenty of oversweet ballad moments (""Tenerife Sea""). But he can be surprisingly hard-bitten, too."
Couple Tracks: Singles 2002-2009	Fucked Up	Rock	2010-01-26 00:00:00	NOW Magazine	82.0	This career-spanning retrospective helps put Fucked Up’s unlikely critical-darling status in perspective, and serves as a handy catch-up tool for those who’ve come to the party late.
The Besnard Lakes Are The Dark Horse	The Besnard Lakes	Indie	2007-02-20 00:00:00	JoelZ.	83.0	One of those albums I largely was unimpressed with at first listen but 10 listens later blown away, so intricate and beautiful.
Meat + Bone	The Jon Spencer Blues Explosion	Pop/Rock	2012-09-18 00:00:00	The Observer (UK)	75.0	If anything, they seem to have gained funkiness on workouts such as Get Your Pants Off and the loose, classy closing instrumental, Zimgar.
Back To Land	Wooden Shjips	Pop/Rock	2013-11-12 00:00:00	Consequence of Sound	72.0	Back To Land is the most forgiving, clear album in the Wooden Shjips catalog, an interesting step for a band once lauded for their obscurity.
The Way Out	The Books	Pop/Rock	2010-07-20 00:00:00	XLR8r	81.0	It's an undefinable musical culmination of our collective conscious-reminding us that the more we've changed, the more we've stayed the same.
The Con	Tegan and Sara	Indie	2007-07-24 00:00:00	Slant Magazine	80.0	The Con is undoubtedly as sweet as it is short.
July	Marissa Nadler	Folk	2014-02-04 00:00:00	Record Collector	83.0	Melodically bewitching throughout, Nadler’s vocals are as nuanced and strong as Dunn’s production.
Frying on This Rock	White Hills	Pop/Rock	2012-03-20 00:00:00	The Quietus	72.0	It stands on its own two feet and crucially employs a refinement of ideas that proves that space is indeed deep.
Tiger Suit	KT Tunstall	Pop/Rock	2010-10-05 00:00:00	Gus	73.0	"This is definitely her best album yet. I really don't believe that critics at all in this case. They're doing way too much comparing. JustThis is definitely her best album yet. I really don't believe that critics at all in this case. They're doing way too much comparing. Just because she had two hit singles (Suddenly I See and Black Horse and the Cherry Tree), it doesn't mean she has to live up to that or meet those musical expectations. In fact, every other song on her first album is totally different from Suddenly I See and Black Horse. Every song on ""Tiger Suit"" is beautifully crafted. Even if you don't like a particular song, you still have to appreciate it for its musical layering. Also, METACRITIC, I've seen a LOT more reviews of this album and they're not on here. Just saying.&hellip;Full Review &raquo;"
